序号	汉字	字频
1524.	萍	308
1525.	阿	308
1526.	藻	308
1527.	羸	308
1528.	凡	308
1529.	俯	307
1530.	赖	307
1531.	骚	307
1532.	皋	305
1533.	薛	304
1534.	加	304
1535.	季	303
1536.	禹	302
1537.	铺	302
1538.	韶	302
1539.	绛	301
1540.	健	301
1541.	萤	300
1542.	卜	300
1543.	钗	300
1544.	瘦	300
1545.	雏	299
1546.	笳	298
1547.	器	298
1548.	橘	298
1549.	瓶	298
1550.	庶	297
1551.	类	297
1552.	探	297
1553.	执	296
1554.	乔	296
1555.	汤	296
1556.	烂	296
1557.	廊	295
1558.	凿	294
1559.	肥	294
1560.	瘴	294
1561.	纶	293
1562.	捧	293
1563.	逾	293
1564.	碑	293
1565.	瀑	292
1566.	汗	292
1567.	拙	292
1568.	磨	292
1569.	抚	291
1570.	厚	289
1571.	帷	289
1572.	皓	289
1573.	略	289
1574.	袭	289
1575.	岫	288
1576.	午	288
1577.	灞	287
1578.	兽	287
1579.	鹰	287
1580.	权	286
1581.	职	285
1582.	孝	285
1583.	掷	285
1584.	材	284
1585.	砧	284
1586.	备	283
1587.	吞	283
1588.	尹	283
1589.	匣	282
1590.	偃	282
1591.	株	282
1592.	柔	280
1593.	颇	280
1594.	塔	280
1595.	滋	279
1596.	慰	279
1597.	刻	279
1598.	妖	278
1599.	穆	278
1600.	超	278
1601.	纸	278
1602.	蛟	278
1603.	夹	277
1604.	脉	277
1605.	叫	277
1606.	鉴	276
1607.	授	276
1608.	悴	276
1609.	岚	276
1610.	格	276
1611.	筑	275
1612.	辽	275
1613.	浊	275
1614.	贻	275
1615.	娟	275
1616.	枉	275
1617.	让	274
1618.	怕	274
1619.	牡	273
1620.	潘	273
1621.	戟	272
1622.	焰	272
1623.	赊	272
1624.	璧	271
1625.	博	270
1626.	翅	270
1627.	议	270
1628.	契	269
1629.	饯	269
1630.	勋	269
1631.	供	269
1632.	衫	267
1633.	嫁	267
1634.	署	267
1635.	欣	266
1636.	电	266
1637.	萋	266
1638.	缕	265
1639.	渠	265
1640.	笋	265
1641.	标	264
1642.	智	263
1643.	裙	262
1644.	摘	262
1645.	颠	262
1646.	匹	261
1647.	濯	261
1648.	彭	261
1649.	选	261
1650.	垣	261
1651.	区	260
